Year,Wood,Hydraulic,Industrial waste,Oil,Coal,Gas,Nuclear,Renewable energies
1910,16.27,4.26,0.0,79.11,0.7,0.0,0.0,0.0
1911,14.93,4.69,0.0,79.92,0.83,0.0,0.0,0.0
1912,14.64,5.21,0.0,79.65,0.86,0.0,0.0,0.0
1913,14.06,5.45,0.0,80.04,0.84,0.0,0.0,0.0
1914,14.1,5.88,0.0,79.94,0.56,0.0,0.0,0.0
1915,12.59,6.83,0.0,81.01,0.42,0.0,0.0,0.0
1916,11.15,7.81,0.0,81.83,0.16,0.0,0.0,0.0
1917,13.87,9.93,0.0,77.05,0.32,0.0,0.0,0.0
1918,18.69,10.83,0.0,71.38,0.31,0.0,0.0,0.0
1919,23.84,12.6,0.0,64.2,0.77,0.0,0.0,0.0
1920,17.79,10.26,0.0,71.44,1.89,0.0,0.0,0.0
1921,20.68,11.77,0.0,67.34,1.67,0.0,0.0,0.0
1922,19.68,11.19,0.0,68.11,2.75,0.0,0.0,0.0
1923,18.73,10.17,0.0,70.08,2.63,0.0,0.0,0.0
1924,18.75,11.85,0.0,68.09,3.13,0.0,0.0,0.0
1925,17.17,12.41,0.0,68.58,3.86,0.0,0.0,0.0
1926,17.1,13.54,0.0,67.75,4.23,0.0,0.0,0.0
1927,14.89,13.33,0.0,69.81,4.67,0.0,0.0,0.0
1928,14.91,13.96,0.0,68.37,5.62,0.0,0.0,0.0
1929,13.65,12.98,0.0,69.77,6.02,0.0,0.0,0.0
1930,13.96,13.53,0.0,67.77,7.23,0.0,0.0,0.0
1931,14.25,12.4,0.0,67.52,8.26,0.0,0.0,0.0
1932,13.48,11.97,0.0,66.89,9.99,0.0,0.0,0.0
1933,13.59,12.89,0.0,65.42,10.63,0.0,0.0,0.0
1934,13.48,13.65,0.0,64.29,11.56,0.0,0.0,0.0
1935,14.04,14.83,0.0,63.16,11.58,0.0,0.0,0.0
1936,12.69,15.58,0.0,64.5,11.04,0.0,0.0,0.0
1937,12.13,16.75,0.0,64.32,10.43,0.0,0.0,0.0
1938,11.98,16.57,0.0,64.2,10.88,0.0,0.0,0.0
1939,11.93,17.63,0.0,63.26,11.0,0.0,0.0,0.0
1940,16.75,20.83,0.0,59.01,7.92,0.0,0.0,0.0
1941,23.9,22.39,0.0,54.73,3.22,0.0,0.0,0.0
1942,24.75,23.32,0.0,53.61,2.58,0.0,0.0,0.0
1943,26.18,25.89,0.0,49.77,2.26,0.0,0.0,0.0
1944,27.45,29.16,0.0,45.05,2.07,0.0,0.0,0.0
1945,29.11,30.31,0.0,41.56,1.11,0.0,0.0,0.0
1946,24.68,26.06,0.0,39.61,11.19,0.0,0.0,0.0
1947,14.95,22.86,0.0,43.44,19.79,0.0,0.0,0.0
1948,14.4,23.87,0.0,43.4,19.1,0.0,0.0,0.0
1949,13.13,21.23,0.0,43.85,22.42,0.0,0.0,0.0
1950,12.11,21.8,0.0,42.94,24.44,0.0,0.0,0.0
1951,11.2,23.09,0.0,42.37,24.58,0.0,0.0,0.0
1952,10.64,23.49,0.0,42.05,25.59,0.0,0.0,0.0
1953,10.36,24.85,0.0,37.13,29.18,0.0,0.0,0.0
1954,8.49,22.15,0.0,37.86,32.01,0.0,0.0,0.0
1955,7.74,23.53,0.0,36.31,34.15,0.0,0.0,0.0
1956,6.53,20.55,0.0,34.55,39.07,0.0,0.0,0.0
1957,6.87,21.41,0.0,32.68,39.48,0.0,0.0,0.0
1958,6.13,23.64,0.0,28.52,44.2,0.0,0.0,0.0
1959,5.4,22.36,0.0,27.91,45.74,0.0,0.0,0.0
1960,4.69,23.83,0.0,25.18,49.23,0.0,0.0,0.0
1961,4.34,23.73,0.0,22.36,52.56,0.0,0.0,0.0
1962,4.31,20.36,0.0,20.93,55.61,0.0,0.0,0.0
1963,3.8,19.06,0.0,18.52,60.05,0.0,0.0,0.0
1964,3.69,18.12,0.0,14.55,63.99,0.0,0.0,0.0
1965,3.57,18.94,0.0,11.33,67.9,0.0,0.0,0.0
1966,3.08,20.94,0.0,9.24,70.29,0.0,0.0,0.0
1967,2.85,21.44,0.0,7.42,72.72,0.0,0.0,0.0
1968,2.52,19.57,0.0,6.5,74.9,0.0,0.0,0.0
1969,2.1,16.75,0.0,5.42,76.21,0.0,1.05,0.0
1970,1.52,16.92,0.0,4.11,77.44,0.23,3.03,0.0
1971,1.39,14.31,0.0,2.66,78.76,0.54,2.9,0.0
1972,1.26,12.46,0.0,2.14,76.78,0.65,6.95,0.0
1973,1.28,13.09,0.0,1.87,76.43,0.81,8.12,0.0
1974,1.11,13.68,0.0,1.7,73.5,1.79,9.77,0.0
1975,1.14,16.69,0.0,1.31,71.67,2.96,11.0,0.0
1976,1.1,12.66,0.0,1.19,72.08,2.99,10.89,0.0
1977,1.11,17.29,0.0,1.39,70.49,3.42,11.16,0.0
1978,1.02,15.1,1.08,1.22,69.17,3.66,11.25,0.0
1979,1.14,14.75,1.27,1.24,65.25,4.03,15.53,0.0
1980,3.13,14.37,1.2,1.7,61.06,4.32,17.73,0.0
1981,2.97,15.15,1.64,2.47,59.31,4.56,18.4,0.0
1982,2.98,15.95,1.94,2.24,57.98,4.94,18.63,0.0
1983,2.96,15.15,1.88,1.91,57.78,5.31,18.9,0.0
1984,2.95,12.33,1.99,2.33,55.6,5.62,21.06,0.0
1985,2.85,12.39,2.15,2.22,53.64,5.59,24.46,0.0
1986,2.72,12.52,2.34,1.88,54.06,5.63,24.06,0.0
