Year,Wood,Hydraulic,Industrial waste,Oil,Coal,Gas,Nuclear,Renewable energies
1910,1.7e+04,4.5e+03,0.0e+00,8.4e+04,7.4e+02,0.0e+00,0.0e+00,0.0e+00
1911,1.7e+04,5.4e+03,0.0e+00,9.2e+04,9.6e+02,0.0e+00,0.0e+00,0.0e+00
1912,1.7e+04,6.1e+03,0.0e+00,9.3e+04,1.0e+03,0.0e+00,0.0e+00,0.0e+00
1913,1.7e+04,6.7e+03,0.0e+00,9.8e+04,1.0e+03,0.0e+00,0.0e+00,0.0e+00
1914,1.7e+04,7.0e+03,0.0e+00,9.5e+04,6.7e+02,0.0e+00,0.0e+00,0.0e+00
1915,1.5e+04,8.1e+03,0.0e+00,9.6e+04,5.0e+02,0.0e+00,0.0e+00,0.0e+00
1916,1.3e+04,8.8e+03,0.0e+00,9.2e+04,1.8e+02,0.0e+00,0.0e+00,0.0e+00
1917,1.4e+04,9.7e+03,0.0e+00,7.5e+04,3.1e+02,0.0e+00,0.0e+00,0.0e+00
1918,1.8e+04,1.1e+04,0.0e+00,7.0e+04,3.0e+02,0.0e+00,0.0e+00,0.0e+00
1919,2.0e+04,1.0e+04,0.0e+00,5.3e+04,6.4e+02,0.0e+00,0.0e+00,0.0e+00
1920,1.7e+04,1.0e+04,0.0e+00,7.0e+04,1.9e+03,0.0e+00,0.0e+00,0.0e+00
1921,1.7e+04,9.5e+03,0.0e+00,5.5e+04,1.4e+03,0.0e+00,0.0e+00,0.0e+00
1922,1.9e+04,1.1e+04,0.0e+00,6.6e+04,2.6e+03,0.0e+00,0.0e+00,0.0e+00
1923,2.2e+04,1.2e+04,0.0e+00,8.2e+04,3.1e+03,0.0e+00,0.0e+00,0.0e+00
1924,2.1e+04,1.3e+04,0.0e+00,7.7e+04,3.5e+03,0.0e+00,0.0e+00,0.0e+00
1925,2.0e+04,1.4e+04,0.0e+00,8.0e+04,4.5e+03,0.0e+00,0.0e+00,0.0e+00
1926,2.0e+04,1.6e+04,0.0e+00,7.9e+04,5.0e+03,0.0e+00,0.0e+00,0.0e+00
1927,1.9e+04,1.7e+04,0.0e+00,9.0e+04,6.0e+03,0.0e+00,0.0e+00,0.0e+00
1928,1.9e+04,1.8e+04,0.0e+00,8.9e+04,7.3e+03,0.0e+00,0.0e+00,0.0e+00
1929,2.0e+04,1.9e+04,0.0e+00,1.0e+05,8.8e+03,0.0e+00,0.0e+00,0.0e+00
1930,1.9e+04,1.9e+04,0.0e+00,9.4e+04,1.0e+04,0.0e+00,0.0e+00,0.0e+00
1931,2.0e+04,1.8e+04,0.0e+00,9.7e+04,1.2e+04,0.0e+00,0.0e+00,0.0e+00
1932,1.9e+04,1.7e+04,0.0e+00,9.6e+04,1.4e+04,0.0e+00,0.0e+00,0.0e+00
1933,1.9e+04,1.8e+04,0.0e+00,9.1e+04,1.5e+04,0.0e+00,0.0e+00,0.0e+00
1934,1.9e+04,1.9e+04,0.0e+00,9.1e+04,1.6e+04,0.0e+00,0.0e+00,0.0e+00
1935,2.0e+04,2.1e+04,0.0e+00,8.9e+04,1.6e+04,0.0e+00,0.0e+00,0.0e+00
1936,1.8e+04,2.2e+04,0.0e+00,9.2e+04,1.6e+04,0.0e+00,0.0e+00,0.0e+00
1937,1.8e+04,2.5e+04,0.0e+00,9.6e+04,1.5e+04,0.0e+00,0.0e+00,0.0e+00
1938,1.8e+04,2.5e+04,0.0e+00,9.6e+04,1.6e+04,0.0e+00,0.0e+00,0.0e+00
1939,1.8e+04,2.7e+04,0.0e+00,9.6e+04,1.7e+04,0.0e+00,0.0e+00,0.0e+00
1940,2.3e+04,2.9e+04,0.0e+00,8.1e+04,1.1e+04,0.0e+00,0.0e+00,0.0e+00
1941,3.1e+04,2.9e+04,0.0e+00,7.2e+04,4.2e+03,0.0e+00,0.0e+00,0.0e+00
1942,3.1e+04,2.9e+04,0.0e+00,6.7e+04,3.2e+03,0.0e+00,0.0e+00,0.0e+00
1943,3.1e+04,3.1e+04,0.0e+00,5.9e+04,2.7e+03,0.0e+00,0.0e+00,0.0e+00
1944,3.0e+04,3.2e+04,0.0e+00,5.0e+04,2.3e+03,0.0e+00,0.0e+00,0.0e+00
1945,3.3e+04,3.4e+04,0.0e+00,4.7e+04,1.3e+03,0.0e+00,0.0e+00,0.0e+00
1946,3.4e+04,3.6e+04,0.0e+00,5.5e+04,1.6e+04,0.0e+00,0.0e+00,0.0e+00
1947,2.2e+04,3.4e+04,0.0e+00,6.5e+04,3.0e+04,0.0e+00,0.0e+00,0.0e+00
1948,2.3e+04,3.8e+04,0.0e+00,6.9e+04,3.1e+04,0.0e+00,0.0e+00,0.0e+00
1949,2.1e+04,3.4e+04,0.0e+00,6.9e+04,3.5e+04,0.0e+00,0.0e+00,0.0e+00
1950,2.2e+04,3.9e+04,0.0e+00,7.7e+04,4.4e+04,0.0e+00,0.0e+00,0.0e+00
1951,2.2e+04,4.4e+04,0.0e+00,8.2e+04,4.7e+04,0.0e+00,0.0e+00,0.0e+00
1952,2.1e+04,4.7e+04,0.0e+00,8.4e+04,5.1e+04,0.0e+00,0.0e+00,0.0e+00
1953,2.0e+04,4.8e+04,0.0e+00,7.1e+04,5.6e+04,0.0e+00,0.0e+00,0.0e+00
1954,1.8e+04,4.8e+04,0.0e+00,8.2e+04,6.9e+04,0.0e+00,0.0e+00,0.0e+00
1955,1.8e+04,5.5e+04,0.0e+00,8.5e+04,8.0e+04,0.0e+00,0.0e+00,0.0e+00
1956,1.7e+04,5.4e+04,0.0e+00,9.1e+04,1.0e+05,0.0e+00,0.0e+00,0.0e+00
1957,1.8e+04,5.6e+04,0.0e+00,8.5e+04,1.0e+05,0.0e+00,0.0e+00,0.0e+00
1958,1.7e+04,6.4e+04,0.0e+00,7.7e+04,1.2e+05,0.0e+00,0.0e+00,0.0e+00
1959,1.5e+04,6.3e+04,0.0e+00,7.8e+04,1.3e+05,0.0e+00,0.0e+00,0.0e+00
1960,1.5e+04,7.4e+04,0.0e+00,7.8e+04,1.5e+05,0.0e+00,0.0e+00,0.0e+00
1961,1.4e+04,7.7e+04,0.0e+00,7.3e+04,1.7e+05,0.0e+00,0.0e+00,0.0e+00
1962,1.6e+04,7.6e+04,0.0e+00,7.8e+04,2.1e+05,0.0e+00,0.0e+00,0.0e+00
1963,1.6e+04,8.1e+04,0.0e+00,7.9e+04,2.6e+05,0.0e+00,0.0e+00,0.0e+00
1964,1.6e+04,8.0e+04,0.0e+00,6.4e+04,2.8e+05,0.0e+00,0.0e+00,0.0e+00
1965,1.7e+04,8.9e+04,0.0e+00,5.3e+04,3.2e+05,0.0e+00,0.0e+00,0.0e+00
1966,1.5e+04,1.0e+05,0.0e+00,4.4e+04,3.4e+05,0.0e+00,0.0e+00,0.0e+00
1967,1.4e+04,1.1e+05,0.0e+00,3.7e+04,3.7e+05,0.0e+00,0.0e+00,0.0e+00
1968,1.4e+04,1.1e+05,0.0e+00,3.5e+04,4.1e+05,0.0e+00,0.0e+00,0.0e+00
1969,1.2e+04,9.8e+04,0.0e+00,3.2e+04,4.5e+05,1.0e+01,6.1e+03,0.0e+00
1970,1.0e+04,1.1e+05,0.0e+00,2.7e+04,5.2e+05,1.5e+03,2.0e+04,0.0e+00
1971,9.7e+03,9.9e+04,0.0e+00,1.8e+04,5.5e+05,3.7e+03,2.0e+04,0.0e+00
1972,9.2e+03,9.1e+04,0.0e+00,1.6e+04,5.6e+05,4.7e+03,5.1e+04,0.0e+00
1973,1.0e+04,1.0e+05,0.0e+00,1.5e+04,6.1e+05,6.4e+03,6.4e+04,0.0e+00
1974,8.4e+03,1.0e+05,0.0e+00,1.3e+04,5.5e+05,1.3e+04,7.3e+04,0.0e+00
1975,8.4e+03,1.2e+05,0.0e+00,9.6e+03,5.3e+05,2.2e+04,8.1e+04,0.0e+00
1976,8.4e+03,9.6e+04,0.0e+00,9.0e+03,5.5e+05,2.3e+04,8.2e+04,0.0e+00
1977,8.4e+03,1.3e+05,0.0e+00,1.0e+04,5.3e+05,2.6e+04,8.4e+04,0.0e+00
1978,7.9e+03,1.2e+05,8.4e+03,9.4e+03,5.4e+05,2.8e+04,8.7e+04,0.0e+00
1979,9.0e+03,1.2e+05,1.0e+04,9.8e+03,5.2e+05,3.2e+04,1.2e+05,0.0e+00
1980,2.6e+04,1.2e+05,1.0e+04,1.4e+04,5.1e+05,3.6e+04,1.5e+05,0.0e+00
1981,2.5e+04,1.3e+05,1.4e+04,2.1e+04,5.1e+05,3.9e+04,1.6e+05,0.0e+00
1982,2.5e+04,1.3e+05,1.6e+04,1.9e+04,4.8e+05,4.1e+04,1.6e+05,0.0e+00
1983,2.5e+04,1.3e+05,1.6e+04,1.6e+04,4.9e+05,4.5e+04,1.6e+05,0.0e+00
1984,2.7e+04,1.1e+05,1.8e+04,2.1e+04,5.0e+05,5.1e+04,1.9e+05,0.0e+00
1985,2.7e+04,1.2e+05,2.0e+04,2.1e+04,5.1e+05,5.3e+04,2.3e+05,0.0e+00
1986,2.6e+04,1.2e+05,2.3e+04,1.8e+04,5.2e+05,5.4e+04,2.3e+05,0.0e+00
1987,2.6e+04,1.3e+05,2.3e+04,1.7e+04,5.2e+05,5.8e+04,2.4e+05,0.0e+00
1988,2.5e+04,1.3e+05,2.3e+04,1.4e+04,5.3e+05,5.9e+04,2.3e+05,0.0e+00
1989,2.5e+04,1.1e+05,2.3e+04,1.5e+04,5.2e+05,6.4e+04,2.4e+05,0.0e+00
1990,2.9e+04,1.1e+05,2.3e+04,1.5e+04,5.3e+05,6.8e+04,2.4e+05,4.6e+03
1991,3.2e+04,1.2e+05,2.4e+04,1.3e+04,5.6e+05,7.7e+04,2.4e+05,5.1e+03
1992,3.1e+04,1.2e+05,2.5e+04,8.8e+03,5.6e+05,8.1e+04,2.4e+05,5.3e+03
1993,3.1e+04,1.3e+05,2.9e+04,7.3e+03,5.3e+05,8.5e+04,2.4e+05,5.6e+03
1994,2.9e+04,1.4e+05,3.0e+04,7.4e+03,5.2e+05,8.3e+04,2.5e+05,5.7e+03
1995,3.0e+04,1.3e+05,3.3e+04,8.0e+03,5.3e+05,9.2e+04,2.6e+05,6.2e+03
1996,3.3e+04,1.1e+05,3.4e+04,6.0e+03,5.4e+05,1.0e+05,2.6e+05,6.7e+03
1997,2.9e+04,1.3e+05,3.6e+04,4.6e+03,5.3e+05,9.6e+04,2.6e+05,6.6e+03
1998,3.0e+04,1.2e+05,3.8e+04,3.8e+03,5.5e+05,9.9e+04,2.7e+05,7.1e+03
1999,3.0e+04,1.5e+05,4.2e+04,4.0e+03,5.5e+05,1.0e+05,2.6e+05,7.4e+03
2000,2.8e+04,1.4e+05,4.6e+04,5.8e+03,5.4e+05,1.0e+05,2.7e+05,7.4e+03
2001,3.0e+04,1.5e+05,4.6e+04,6.0e+03,5.5e+05,1.1e+05,2.8e+05,7.9e+03
2002,2.9e+04,1.3e+05,4.8e+04,5.6e+03,5.2e+05,1.0e+05,2.8e+05,8.0e+03
2003,3.1e+04,1.3e+05,4.9e+04,5.7e+03,5.3e+05,1.1e+05,2.8e+05,8.5e+03
2004,3.1e+04,1.3e+05,4.9e+04,5.4e+03,5.3e+05,1.1e+05,2.8e+05,8.8e+03
2005,3.2e+04,1.2e+05,5.1e+04,6.0e+03,5.3e+05,1.2e+05,2.4e+05,9.6e+03
2006,3.2e+04,1.2e+05,5.5e+04,6.5e+03,5.3e+05,1.1e+05,2.9e+05,1.0e+04
2007,3.1e+04,1.3e+05,5.5e+04,7.3e+03,5.1e+05,1.1e+05,2.9e+05,1.1e+04
2008,3.6e+04,1.4e+05,5.5e+04,6.6e+03,5.3e+05,1.2e+05,2.9e+05,1.3e+04
2009,3.7e+04,1.3e+05,5.3e+04,6.2e+03,5.1e+05,1.1e+05,2.8e+05,1.4e+04
2010,4.0e+04,1.3e+05,5.5e+04,6.2e+03,5.2e+05,1.3e+05,2.7e+05,1.6e+04
2011,3.6e+04,1.2e+05,5.5e+04,5.8e+03,4.9e+05,1.1e+05,2.8e+05,1.7e+04
2012,4.0e+04,1.4e+05,5.6e+04,5.3e+03,4.9e+05,1.2e+05,2.7e+05,2.0e+04
2013,4.4e+04,1.4e+05,5.5e+04,5.7e+03,5.0e+05,1.3e+05,2.7e+05,2.2e+04
2014,3.8e+04,1.4e+05,5.7e+04,5.9e+03,4.6e+05,1.1e+05,2.9e+05,2.3e+04
