Year,Gross energy consumption in the country in TJ
1910,105640
1911,115140
1912,117380
1913,122300
1914,119350
1915,118590
1916,112910
1917,97920
1918,98090
1919,82840
1920,98290
1921,81040
1922,96500
1923,116820
1924,112400
1925,116050
1926,116990
1927,128330
1928,130260
1929,146950
1930,138370
1931,143050
1932,142890
1933,139760
1934,141350
1935,141240
1936,142590
1937,148500
1938,149860
1939,152160
1940,138050
1941,130840
1942,124590
1943,119460
1944,110220
1945,113100
1946,138710
1947,149230
1948,159920
1949,157860
1950,179330
1951,192450
1952,200320
1953,192410
1954,215340
1955,234050
1956,264220
1957,259540
1958,270050
1959,279990
1960,309760
1961,326510
1962,374600
1963,425810
1964,439030
1965,471380
1966,477860
1967,501950
1968,541560
1969,587330
1970,665180
1971,693370
1972,730260
1973,792510
1974,751790
1975,732690
1976,757220
1977,755540
1978,775050
1979,789560
1980,840530
1981,857650
1982,836080
1983,855400
1984,901170
1985,949100
1986,965900
1987,977350
1988,977970
1989,980800
1990,1017970
1991,1056720
1992,1061570
1993,1035840
1994,1027430
1995,1057210
1996,1081280
1997,1067120
1998,1097170
1999,1101560
2000,1107450
2001,1134510
2002,1112760
2003,1135760
2004,1139220
2005,1129590
2006,1162850
2007,1134590
2008,1169280
2009,1146260
2010,1178300
2011,1120890
2012,1139850
2013,1165230
2014,1108480
