Year,Gas
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,10.0
1970,1540.0
1971,3720.0
1972,4720.0
1973,6390.0
1974,13460.0
1975,21680.0
1976,22630.0
1977,25840.0
1978,28350.0
1979,31800.0
1980,36280.0
1981,39140.0
1982,41340.0
1983,45450.0
1984,50690.0
1985,53070.0
1986,54350.0
1987,58270.0
1988,58680.0
1989,63820.0
1990,68310.0
1991,76680.0
1992,80600.0
1993,84560.0
1994,83410.0
1995,91920.0
1996,99500.0
1997,96060.0
1998,98880.0
1999,102450.0
2000,101880.0
2001,106040.0
2002,104080.0
2003,110010.0
2004,113490.0
2005,116510.0
2006,113290.0
2007,110310.0
2008,117530.0
2009,112810.0
2010,126010.0
2011,111770.0
2012,122520.0
2013,129030.0
2014,111770.0
