Year,Zurich,Berne,Lucerne,Uri,Schwyz,Obwald,Nidwald,Glaris,Zoug,Fribourg,Soleure,Bâle-Ville,Bâle-Campagne,Schaffhouse,Appenzell Rh.-Ext.,Appenzell Rh.-Int.,Saint-Gall,Grisons,Argovie,Thurgovie,Tessin,Vaud,Valais,Neuchâtel,Genève,Jura
2006,13,61,8,20,14,11,5,29,6,12,8,2,10,4,3,1,44,82,22,8,30,21,87,11,3,3
2007,13,62,8,20,14,11,5,28,6,12,8,3,10,4,3,1,44,82,22,8,30,21,87,12,3,3
2008,13,62,8,21,14,11,5,29,6,12,8,3,10,4,3,1,44,84,23,8,30,21,87,12,3,3
2009,13,62,8,21,14,11,5,29,6,12,8,3,10,4,3,1,45,84,23,9,30,22,90,12,3,3
2010,13,63,8,22,14,11,5,30,6,12,8,3,10,4,3,1,45,86,24,9,30,22,89,12,3,3
2011,13,63,8,22,14,11,5,32,6,12,8,3,10,4,3,1,46,91,25,9,30,22,94,12,3,3
2012,13,64,9,22,14,11,5,33,6,12,8,3,10,4,3,1,46,95,26,10,30,22,95,12,3,3
2013,13,63,9,23,14,11,5,34,6,12,8,3,10,4,3,1,46,98,25,10,31,22,99,12,3,3
2014,13,64,9,23,14,11,6,34,6,13,8,3,10,4,3,1,46,99,27,10,31,23,105,12,3,4
2015,13,65,9,23,14,11,6,35,6,13,8,3,10,4,3,1,47,102,29,11,31,24,108,13,3,4
2016,14,64,9,23,15,12,6,34,7,13,9,3,10,4,3,1,49,103,29,11,33,24,117,13,4,5
2017,14,71,9,24,16,12,6,38,7,13,9,4,10,4,3,1,49,105,29,12,34,24,121,11,4,5
