Year,Industrial waste
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,8400.0
1979,10060.0
1980,10100.0
1981,14040.0
1982,16200.0
1983,16040.0
1984,17920.0
1985,20390.0
1986,22570.0
1987,22680.0
1988,22790.0
1989,22970.0
1990,23200.0
1991,24430.0
1992,24640.0
1993,29330.0
1994,29530.0
1995,32820.0
1996,33590.0
1997,35630.0
1998,37660.0
1999,41670.0
2000,45560.0
2001,46360.0
2002,48150.0
2003,48650.0
2004,49120.0
2005,51260.0
2006,55090.0
2007,55260.0
2008,54800.0
2009,52910.0
2010,54640.0
2011,55480.0
2012,56390.0
2013,54830.0
2014,56880.0
