Year,Oil
1910,7.4e+02
1911,9.6e+02
1912,1.0e+03
1913,1.0e+03
1914,6.7e+02
1915,5.0e+02
1916,1.8e+02
1917,3.1e+02
1918,3.0e+02
1919,6.4e+02
1920,1.9e+03
1921,1.4e+03
1922,2.6e+03
1923,3.1e+03
1924,3.5e+03
1925,4.5e+03
1926,5.0e+03
1927,6.0e+03
1928,7.3e+03
1929,8.8e+03
1930,1.0e+04
1931,1.2e+04
1932,1.4e+04
1933,1.5e+04
1934,1.6e+04
1935,1.6e+04
1936,1.6e+04
1937,1.5e+04
1938,1.6e+04
1939,1.7e+04
1940,1.1e+04
1941,4.2e+03
1942,3.2e+03
1943,2.7e+03
1944,2.3e+03
1945,1.3e+03
1946,1.6e+04
1947,3.0e+04
1948,3.1e+04
1949,3.5e+04
1950,4.4e+04
1951,4.7e+04
1952,5.1e+04
1953,5.6e+04
1954,6.9e+04
1955,8.0e+04
1956,1.0e+05
1957,1.0e+05
1958,1.2e+05
1959,1.3e+05
1960,1.5e+05
1961,1.7e+05
1962,2.1e+05
1963,2.6e+05
1964,2.8e+05
1965,3.2e+05
1966,3.4e+05
1967,3.7e+05
1968,4.1e+05
1969,4.5e+05
1970,5.2e+05
1971,5.5e+05
1972,5.6e+05
1973,6.1e+05
1974,5.5e+05
1975,5.3e+05
1976,5.5e+05
1977,5.3e+05
1978,5.4e+05
1979,5.2e+05
1980,5.1e+05
1981,5.1e+05
1982,4.8e+05
1983,4.9e+05
1984,5.0e+05
1985,5.1e+05
1986,5.2e+05
1987,5.2e+05
1988,5.3e+05
1989,5.2e+05
1990,5.3e+05
1991,5.6e+05
1992,5.6e+05
1993,5.3e+05
1994,5.2e+05
1995,5.3e+05
1996,5.4e+05
1997,5.3e+05
1998,5.5e+05
1999,5.5e+05
2000,5.4e+05
2001,5.5e+05
2002,5.2e+05
2003,5.3e+05
2004,5.3e+05
2005,5.3e+05
2006,5.3e+05
2007,5.1e+05
2008,5.3e+05
2009,5.1e+05
2010,5.2e+05
2011,4.9e+05
2012,4.9e+05
2013,5.0e+05
2014,4.6e+05
