Year;geothermal probes;thermal baths;Near-surface groundwater;Remaining geothermal system;Additional Electrical energy
1990;250;510;610;610;750
1991;300;600;700;700;830
1992;290;590;690;690;820
1993;300;600;700;700;830
1994;290;590;690;700;820
1995;300;650;720;720;900
1996;350;700;750;750;1000
1997;340;690;740;740;980
1998;400;700;760;760;1020
1999;420;730;790;780;1050
2000;450;750;800;800;1080
2001;490;780;830;850;1220
2002;520;800;840;900;1250
2003;620;850;970;1000;1300
2004;700;900;1010;1050;1350
2005;750;1010;1150;1200;1510
2006;790;1100;1200;1250;1600
2007;820;1230;1260;1300;1750
2008;1100;1400;1500;1550;2020
2009;1220;1450;1600;1650;2150
2010;1480;1780;1900;1930;2650
2011;1400;1750;1880;1900;2520
2012;1700;1900;2150;2200;2930
2013;1850;2200;2400;2800;3250
2014;1750;1980;2250;2250;3050
2015;1990;2250;2490;2550;3400
2016;2250;2350;2700;2750;3700
