Year,Energy Consumption
1910,1.1e+05
1911,1.2e+05
1912,1.2e+05
1913,1.2e+05
1914,1.2e+05
1915,1.2e+05
1916,1.1e+05
1917,9.8e+04
1918,9.8e+04
1919,8.3e+04
1920,9.8e+04
1921,8.1e+04
1922,9.6e+04
1923,1.2e+05
1924,1.1e+05
1925,1.2e+05
1926,1.2e+05
1927,1.3e+05
1928,1.3e+05
1929,1.5e+05
1930,1.4e+05
1931,1.4e+05
1932,1.4e+05
1933,1.4e+05
1934,1.4e+05
1935,1.4e+05
1936,1.4e+05
1937,1.5e+05
1938,1.5e+05
1939,1.5e+05
1940,1.4e+05
1941,1.3e+05
1942,1.2e+05
1943,1.2e+05
1944,1.1e+05
1945,1.1e+05
1946,1.4e+05
1947,1.5e+05
1948,1.6e+05
1949,1.6e+05
1950,1.8e+05
1951,1.9e+05
1952,2.0e+05
1953,1.9e+05
1954,2.2e+05
1955,2.3e+05
1956,2.6e+05
1957,2.6e+05
1958,2.7e+05
1959,2.8e+05
1960,3.1e+05
1961,3.3e+05
1962,3.7e+05
1963,4.3e+05
1964,4.4e+05
1965,4.7e+05
1966,4.8e+05
1967,5.0e+05
1968,5.4e+05
1969,5.9e+05
1970,6.7e+05
1971,6.9e+05
1972,7.3e+05
1973,7.9e+05
1974,7.5e+05
1975,7.3e+05
1976,7.6e+05
1977,7.6e+05
1978,7.8e+05
1979,7.9e+05
1980,8.4e+05
1981,8.6e+05
1982,8.4e+05
1983,8.6e+05
1984,9.0e+05
1985,9.5e+05
1986,9.7e+05
1987,9.8e+05
1988,9.8e+05
1989,9.8e+05
1990,1.0e+06
1991,1.1e+06
1992,1.1e+06
1993,1.0e+06
1994,1.0e+06
1995,1.1e+06
1996,1.1e+06
1997,1.1e+06
1998,1.1e+06
1999,1.1e+06
2000,1.1e+06
2001,1.1e+06
2002,1.1e+06
2003,1.1e+06
2004,1.1e+06
2005,1.1e+06
2006,1.2e+06
2007,1.1e+06
2008,1.2e+06
2009,1.1e+06
2010,1.2e+06
2011,1.1e+06
2012,1.1e+06
2013,1.2e+06
2014,1.1e+06
