Year,Gas
1910,0.0e+00
1911,0.0e+00
1912,0.0e+00
1913,0.0e+00
1914,0.0e+00
1915,0.0e+00
1916,0.0e+00
1917,0.0e+00
1918,0.0e+00
1919,0.0e+00
1920,0.0e+00
1921,0.0e+00
1922,0.0e+00
1923,0.0e+00
1924,0.0e+00
1925,0.0e+00
1926,0.0e+00
1927,0.0e+00
1928,0.0e+00
1929,0.0e+00
1930,0.0e+00
1931,0.0e+00
1932,0.0e+00
1933,0.0e+00
1934,0.0e+00
1935,0.0e+00
1936,0.0e+00
1937,0.0e+00
1938,0.0e+00
1939,0.0e+00
1940,0.0e+00
1941,0.0e+00
1942,0.0e+00
1943,0.0e+00
1944,0.0e+00
1945,0.0e+00
1946,0.0e+00
1947,0.0e+00
1948,0.0e+00
1949,0.0e+00
1950,0.0e+00
1951,0.0e+00
1952,0.0e+00
1953,0.0e+00
1954,0.0e+00
1955,0.0e+00
1956,0.0e+00
1957,0.0e+00
1958,0.0e+00
1959,0.0e+00
1960,0.0e+00
1961,0.0e+00
1962,0.0e+00
1963,0.0e+00
1964,0.0e+00
1965,0.0e+00
1966,0.0e+00
1967,0.0e+00
1968,0.0e+00
1969,1.0e+01
1970,1.5e+03
1971,3.7e+03
1972,4.7e+03
1973,6.4e+03
1974,1.3e+04
1975,2.2e+04
1976,2.3e+04
1977,2.6e+04
1978,2.8e+04
1979,3.2e+04
1980,3.6e+04
1981,3.9e+04
1982,4.1e+04
1983,4.5e+04
1984,5.1e+04
1985,5.3e+04
1986,5.4e+04
1987,5.8e+04
1988,5.9e+04
1989,6.4e+04
1990,6.8e+04
1991,7.7e+04
1992,8.1e+04
1993,8.5e+04
1994,8.3e+04
1995,9.2e+04
1996,1.0e+05
1997,9.6e+04
1998,9.9e+04
1999,1.0e+05
2000,1.0e+05
2001,1.1e+05
2002,1.0e+05
2003,1.1e+05
2004,1.1e+05
2005,1.2e+05
2006,1.1e+05
2007,1.1e+05
2008,1.2e+05
2009,1.1e+05
2010,1.3e+05
2011,1.1e+05
2012,1.2e+05
2013,1.3e+05
2014,1.1e+05
