Year,AR,AI,AG,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TI,TG,UR,VS,VD,ZG,ZH
2006,22.98,10.76,2969.56,3144.78,303,274.21,615.3,621.66,885.57,7866.31,32.8,48.21,139.23,151.07,298.93,595.33,254.66,476.16,538.46,3503.89,50.17,1522.92,9548.57,806.11,67.57,544.81
2007,22.98,10.76,2990.66,3147.02,303,265.41,615.22,621.66,886.89,7864.92,32.8,48.21,133.07,151.65,298.93,592.69,254.66,476.16,538.46,3503.89,49.97,1522.92,9565.9,810.17,67.57,544.61
2008,22.98,10.76,2991.31,3253.82,303,265.41,615.22,621.66,893.59,7869.9,32.8,48.21,133.07,151.65,298.93,598.19,254.66,476.16,538.46,3537.89,49.97,1523.91,9565.9,810.17,67.57,544.77
2009,22.98,10.76,2991.31,3253.82,303,265.41,615.22,634.58,893.59,7869.9,32.8,48.21,133.07,151.65,298.93,599.49,254.66,476.16,538.46,3537.89,51.57,1523.91,9568.99,821.28,67.57,545.27
2010,22.98,10.76,3029.76,3273.45,303,265.41,615.22,634.58,907.99,7855.93,32.8,48.21,133.07,151.65,298.93,600.49,254.66,476.16,543.62,3537.89,51.57,1526.07,9593.38,821.28,67.57,545.27
2011,22.98,10.76,3217.11,3292.85,303,261.61,615.22,634.58,914.91,7868.33,32.8,48.21,133.07,151.65,298.93,606.59,254.66,476.16,543.62,3537.89,51.87,1527.57,9593.81,821.28,68.78,545.3
2012,22.98,10.76,3224.11,3315.85,303,261.61,615.22,634.58,920.51,7802.96,32.8,52.71,133.07,151.65,298.93,606.99,254.66,476.16,543.62,3537.89,58.97,1527.57,9595.51,821.28,68.78,545.3
2013,22.98,10.76,3170.01,3308.62,303,261.61,615.22,634.58,932.54,7822.81,32.8,52.71,133.07,151.97,310.13,606.99,279.55,476.16,543.62,3542.59,58.97,1528.77,9589.11,821.28,68.78,592.26
2014,22.98,10.76,3174.91,3321.98,303,261.61,618.72,646.08,932.54,7784.01,36.6,52.71,133.07,158.97,310.13,608.24,279.55,476.16,543.62,3542.59,58.97,1528.77,9618.14,827.42,68.78,592.26
2015,22.98,10.76,3240.81,3325.18,303,261.61,608.43,646.08,935.74,7816.58,36.6,52.71,134.72,158.97,310.13,612.84,279.55,476.16,543.62,3542.59,60.37,1528.77,9646.76,814.02,68.78,592.86
2016,22.98,10.76,3240.81,3346.15,303,261.61,608.43,647.63,933.54,7889.38,38.13,52.71,134.72,158.97,311.49,616.64,279.55,477.06,545.22,3547.39,60.37,1528.77,9679.27,814.02,70.58,595.41
2017,23.44,10.84,3242.63,3310.6,303,269.61,608.43,647.63,950.04,7928.75,36.35,52.71,136.32,155.3,292.66,618.54,279.55,482.06,545.22,3547.09,69.27,1542.77,9702.75,843.02,70.58,594.81
