Year,Industrial waste
1910,0.0e+00
1911,0.0e+00
1912,0.0e+00
1913,0.0e+00
1914,0.0e+00
1915,0.0e+00
1916,0.0e+00
1917,0.0e+00
1918,0.0e+00
1919,0.0e+00
1920,0.0e+00
1921,0.0e+00
1922,0.0e+00
1923,0.0e+00
1924,0.0e+00
1925,0.0e+00
1926,0.0e+00
1927,0.0e+00
1928,0.0e+00
1929,0.0e+00
1930,0.0e+00
1931,0.0e+00
1932,0.0e+00
1933,0.0e+00
1934,0.0e+00
1935,0.0e+00
1936,0.0e+00
1937,0.0e+00
1938,0.0e+00
1939,0.0e+00
1940,0.0e+00
1941,0.0e+00
1942,0.0e+00
1943,0.0e+00
1944,0.0e+00
1945,0.0e+00
1946,0.0e+00
1947,0.0e+00
1948,0.0e+00
1949,0.0e+00
1950,0.0e+00
1951,0.0e+00
1952,0.0e+00
1953,0.0e+00
1954,0.0e+00
1955,0.0e+00
1956,0.0e+00
1957,0.0e+00
1958,0.0e+00
1959,0.0e+00
1960,0.0e+00
1961,0.0e+00
1962,0.0e+00
1963,0.0e+00
1964,0.0e+00
1965,0.0e+00
1966,0.0e+00
1967,0.0e+00
1968,0.0e+00
1969,0.0e+00
1970,0.0e+00
1971,0.0e+00
1972,0.0e+00
1973,0.0e+00
1974,0.0e+00
1975,0.0e+00
1976,0.0e+00
1977,0.0e+00
1978,8.4e+03
1979,1.0e+04
1980,1.0e+04
1981,1.4e+04
1982,1.6e+04
1983,1.6e+04
1984,1.8e+04
1985,2.0e+04
1986,2.3e+04
1987,2.3e+04
1988,2.3e+04
1989,2.3e+04
1990,2.3e+04
1991,2.4e+04
1992,2.5e+04
1993,2.9e+04
1994,3.0e+04
1995,3.3e+04
1996,3.4e+04
1997,3.6e+04
1998,3.8e+04
1999,4.2e+04
2000,4.6e+04
2001,4.6e+04
2002,4.8e+04
2003,4.9e+04
2004,4.9e+04
2005,5.1e+04
2006,5.5e+04
2007,5.5e+04
2008,5.5e+04
2009,5.3e+04
2010,5.5e+04
2011,5.5e+04
2012,5.6e+04
2013,5.5e+04
2014,5.7e+04
