Power plant,Year,Production en Gwh
Beznau 1,1990,2540.0
Beznau 1,1991,2474.0
Beznau 1,1992,2456.0
Beznau 1,1993,2145.0
Beznau 1,1994,2668.0
Beznau 1,1995,2823.0
Beznau 1,1996,2728.0
Beznau 1,1997,2688.0
Beznau 1,1998,3157.0
Beznau 1,1999,2810.0
Beznau 1,2000,2503.0
Beznau 1,2001,3062.0
Beznau 1,2002,2884.0
Beznau 1,2003,3038.0
Beznau 1,2004,2775.0
Beznau 1,2005,3069.0
Beznau 1,2006,2920.0
Beznau 1,2007,3045.0
Beznau 1,2008,2918.0
Beznau 1,2009,3025.0
Beznau 1,2010,2634.0
Beznau 1,2011,3022.0
Beznau 1,2012,2683.0
Beznau 1,2013,3012.0
Beznau 1,2014,2884.0
Beznau 2,1990,2617.0
Beznau 2,1991,2601.0
Beznau 2,1992,2354.0
Beznau 2,1993,2617.0
Beznau 2,1994,3052.0
Beznau 2,1995,2553.0
Beznau 2,1996,2747.0
Beznau 2,1997,3083.0
Beznau 2,1998,2711.0
Beznau 2,1999,2210.0
Beznau 2,2000,3048.0
Beznau 2,2001,2559.0
Beznau 2,2002,3001.0
Beznau 2,2003,2912.0
Beznau 2,2004,3091.0
Beznau 2,2005,2796.0
Beznau 2,2006,3058.0
Beznau 2,2007,2894.0
Beznau 2,2008,3052.0
Beznau 2,2009,2742.0
Beznau 2,2010,2832.0
Beznau 2,2011,2715.0
Beznau 2,2012,2770.0
Beznau 2,2013,2846.0
Beznau 2,2014,3029.0
Gosgen,1990,7080.0
Gosgen,1991,7096.0
Gosgen,1992,7352.0
Gosgen,1993,7349.0
Gosgen,1994,7614.0
Gosgen,1995,7765.0
Gosgen,1996,7872.0
Gosgen,1997,7850.0
Gosgen,1998,7783.0
Gosgen,1999,7468.0
Gosgen,2000,7744.0
Gosgen,2001,7804.0
Gosgen,2002,7795.0
Gosgen,2003,7924.0
Gosgen,2004,7954.0
Gosgen,2005,7530.0
Gosgen,2006,8032.0
Gosgen,2007,8087.0
Gosgen,2008,7898.0
Gosgen,2009,8013.0
Gosgen,2010,7979.0
Gosgen,2011,7859.0
Gosgen,2012,8015.0
Gosgen,2013,6382.0
Gosgen,2014,7972.0
Leibstadt,1990,7572.0
Leibstadt,1991,7060.0
Leibstadt,1992,7538.0
Leibstadt,1993,7338.0
Leibstadt,1994,6996.0
Leibstadt,1995,7677.0
Leibstadt,1996,7713.0
Leibstadt,1997,7789.0
Leibstadt,1998,8047.0
Leibstadt,1999,8323.0
Leibstadt,2000,8825.0
Leibstadt,2001,9090.0
Leibstadt,2002,9173.0
Leibstadt,2003,9309.0
Leibstadt,2004,8692.0
Leibstadt,2005,5768.0
Leibstadt,2006,9367.0
Leibstadt,2007,9437.0
Leibstadt,2008,9308.0
Leibstadt,2009,9385.0
Leibstadt,2010,8784.0
Leibstadt,2011,9482.0
Leibstadt,2012,7884.0
Leibstadt,2013,9691.0
Leibstadt,2014,9458.0
Muhleberg,1990,2489.0
Muhleberg,1991,2423.0
Muhleberg,1992,2421.0
Muhleberg,1993,2580.0
Muhleberg,1994,2654.0
Muhleberg,1995,2668.0
Muhleberg,1996,2659.0
Muhleberg,1997,2561.0
Muhleberg,1998,2670.0
Muhleberg,1999,2712.0
Muhleberg,2000,2829.0
Muhleberg,2001,2778.0
Muhleberg,2002,2839.0
Muhleberg,2003,2748.0
Muhleberg,2004,2920.0
Muhleberg,2005,2857.0
Muhleberg,2006,2867.0
Muhleberg,2007,2881.0
Muhleberg,2008,2956.0
Muhleberg,2009,2954.0
Muhleberg,2010,2976.0
Muhleberg,2011,2482.0
Muhleberg,2012,2993.0
Muhleberg,2013,2940.0
Muhleberg,2014,3027.0
