Year,Beznau 1,Beznau 2,Gosgen,Leibstadt,Muhleberg
1990,83.3,85.5,86.7,87.3,88.8
1991,81.2,84.9,86.9,81.4,86.4
1992,80.3,76.6,89.8,86.7,86.1
1993,70.3,85.5,90.0,84.6,87.9
1994,87.5,99.6,93.2,80.7,85.3
1995,92.6,83.3,92.5,85.1,85.8
1996,88.3,88.9,93.0,85.2,85.3
1997,84.5,98.7,93.0,86.3,82.4
1998,99.3,86.7,92.3,85.1,85.9
1999,88.4,70.7,88.6,88.0,87.2
2000,78.5,95.1,91.7,87.7,90.7
2001,96.1,79.8,92.4,90.4,89.1
2002,90.7,93.9,92.5,90.9,91.3
2003,95.6,91.1,94.0,91.2,88.4
2004,87.2,96.5,94.1,84.9,93.6
2005,96.6,87.5,89.3,56.5,91.9
2006,91.9,95.7,95.4,91.8,92.2
2007,95.8,90.5,96.1,92.5,92.6
2008,91.7,95.2,93.5,91.0,94.8
2009,95.3,85.8,95.1,92.0,90.4
2010,83.1,88.6,93.1,86.1,91.1
2011,95.2,84.9,91.7,91.0,76.0
2012,84.4,86.5,93.4,75.4,91.3
2013,95.0,89.1,74.5,90.7,90.0
2014,90.8,94.8,91.9,88.5,92.6
