Year,Logs,Industrial Wood,Energy Wood
1990,4500,5300,6100
1991,2950,3800,4500
1992,2900,3750,4450
1993,2900,3500,4200
1994,3200,3800,4600
1995,3300,3900,4700
1996,2700,3100,4000
1997,3000,3500,4300
1998,3400,3900,4900
1999,3300,3800,4800
2000,6800,7600,9200
2001,3900,4600,5500
2002,3000,3500,4500
2003,3500,4000,5100
2004,3400,4000,5100
2005,3350,4000,5200
2006,3600,4300,5500
2007,3600,4500,5500
2008,3200,3900,5200
2009,2900,3200,4900
2010,2950,3500,5100
2011,2900,3300,5000
2012,2500,3000,4500
2013,2500,3000,4700
2014,2600,3100,4900
2015,2200,2900,4500
2016,2100,2800,4400
